expression,reading,meaning
日本 式,にほん しき,"custom,"
位,い,~th place
園,えん,~ garden especially man made
日,か,counter for days
下,か,under ~
化,か,action of making something
科,か,"family, group, course"
歌,か,song of ~
画,が,"picture, painting"
外,がい,out of ~
難い,がたい,hard difficult to do ~
刊,かん,"~ issued magazine, newspaper"
間,かん,"between, during"
巻,かん,volume
館,かん,"~ hall, ~ building"
感,かん,"feeling, sense, impression"
期,き,"~age, ~period"
器,き,"device, equipment"
機,き,machine
気味,ぎみ,slightly ~
教,きょう,religion
行,ぎょう,"line, row"
業,ぎょう,type of business
きる,きる,"nevertheless, to carry through"
切れ,きれ,out of ~
口,くち,"~ opening; ~ entrance, ~ exit"
家,け,"~'s family, the house of ~"
形,けい,shape of ~
系,けい,"~ system, ~ lineage, ~ group"
圏,けん,"bloc, sphere, area"
校,こう,counter for school
港,こう,~ port
号,ごう,counter for magazine; the name of ship
国,こく,nation of ~
毎,ごと,"every ~, each ~"
山,さん,the name of mountain
産,さん,made in ~
史,し,history of ~
紙,し,"newspaper, type of paper"
寺,じ,the name of temple
時間目,じかんめ,"~th hour, ~th period"
室,しつ,counter for room
日,じつ,day
車,しゃ,~ car
者,しゃ,person
社,しゃ,counter for company
手,しゅ,"~ player, person who does ~"
酒,しゅ,kind of alcohol
集,しゅう,collection of ~
所,しょ,place
所,じょ,place
女,じょ,count for sisters
省,しょう,kind of ministry
商,しょう,"merchant, business"
勝,しょう,count for victory
条,じょう,counter for article
場,じょう,"kind of field, ground"
畳,じょう,"count for tatami, mat"
色,しょく,kind of color
過ぎる,すぎる,too much ~
済,ずみ,finished
席,せき,counter for seats
船,せん,counter for ships
戦,せん,"counter for games, matches"
前,ぜん,before ~
沿い,そい,along
艘,そう,counter for ships
足,そく,counter for shoes
だらけ,だらけ,"be full of ~, be filled with ~"
団,だん,"group, corps, party"
着,ちゃく,counter for clothes; finishing place
庁,ちょう,"office, agency"
兆,ちょう,trillion
長,ちょう,"leader, head"
帳,ちょう,"~ book, notebook"
丁目,ちょうめ,"~ district of a town; city, block"
通,つう,counter for letters
遣い,づかい,use of ~
付,つき,with ~
続く,つづく,"follow, continue, go on"
辛い,づらい,hard to do ~
滴,てき,drop
点,てん,counter for scores
頭,とう,counter for animals
等,とう,"level, place"
島,とう,kind of islands
道,どう,"kind of path, road"
通り,とおり,"in accordance with ~; following ~; ~ street, ~ avenue"
ところ,ところ,about to do ~
内,ない,inside ~
年生,ねんせい,counter for school year
泊,はく,"counter for staying e.g., 2 nights"
発,はつ,counter for bullets
番目,ばんめ,~th
費,ひ,cost of ~
病,びょう,kind of disease
部,ぶ,~ part
風,ふう,~ style
振り,ぶり,after an interval of ~
遍,へん,time
弁,べん,"speech, dialect"
歩,ほ,"step, pace"
向け,むけ,for ~
名,めい,counter for people
もち,もち,person who has ~
問,もん,counter for questions
夜,や,counter for nights
等,ら,plural persons
流,りゅう,"fashion, manner, way"
料,りょう,"fare, charge"
領,りょう,territory
力,りょく,power of ~
論,ろん,theory
羽,わ,counter for rabbits; birds
相変わらず,あいかわらず,"as usual, as always, as before, as ever, still"
扇ぐ,あおぐ,"to fan, to flap"
青白い,あおじろい,pale
呆れる,あきれる,"to be shocked, to be appalled"
飽くまで,あくまで,"to the end, to the last, stubbornly"
明くる,あくる,"next, following"
明け方,あけがた,dawn
憧れる,あこがれる,"to long for, to yearn after"
朝寝坊,あさねぼう,"oversleeping, late riser"
足跡,あしあと,footprint
足元,あしもと,at one's feet
味わう,あじわう,"to taste, to savor"
預かる,あずかる,"to keep in custody, to receive on deposit, to take charge of"
温まる,あたたまる,to warm oneself
当たり前,あたりまえ,"natural, reasonable, obvious, usual, common, ordinary, commonplace, the norm"
厚かましい,あつかましい,"impudent, shameless,"
圧縮,あっしゅく,"compression, condensation, pressure"
宛名,あてな,"address, direction"
当てはまる,あてはまる,"to be applicable, to come under a category"
当てはめる,あてはめる,"to apply, to adapt"
暴れる,あばれる,"to act violently, to rage"
脂,あぶら,"fat, tallow, lard"
あぶる,あぶる,"to scorch, to roast"
あふれる,あふれる,"to flood, to overflow"
雨戸,あまど,sliding storm door
甘やかす,あまやかす,"to pamper, to spoil"
余る,あまる,"to be left over, to be in excess"
編み物,あみもの,knitting
あみもの,あみもの,"knitting, web"
編む,あむ,to knit
危うい,あやうい,"dangerous, critical"
怪しい,あやしい,"suspicious, dubious, doubtful"
荒い,あらい,"rough, rude, wild"
粗い,あらい,"coarse, rough"
粗筋,あらすじ,"outline, synopsis"
争う,あらそう,"to compete, to contest, to contend to quarrel, to argue, to dispute, to be at variance, to oppose"
改めて,あらためて,"another time, again"
改める,あらためる,"to change, to reform, to revise"
あらわす,あらわす,"to write, to publish"
有難い,ありがたい,"grateful, thankful, appreciated"
あれこれ,あれこれ,"one thing or another, this and that"
荒れる,あれる,"to be stormy, to be rough, to be ruined"
慌ただしい,あわただしい,"busy, hurried"
慌てる,あわてる,"to become confused disconcerted, disorganized, to be flustered, to panic, to hurry, to rush, to hasten"
安易,あんい,easy-going
案外,あんがい,"unexpectedly, surprisingly"
言い出す,いいだす,"to start talking, to suggest"
言い付ける,いいつける,"to tell, to order"
意義,いぎ,"meaning, significance"
生き生き,いきいき,"vividly, lively"
幾,いく,several ~
育児,いくじ,"childcare, nursing"
幾分,いくぶん,somewhat
生け花,いけばな,flower arrangement
以後,いご,after this; from now on; hereafter
以降,いこう,"on and after, hereafter"
勇ましい,いさましい,"brave, valiant"
衣食住,いしょくじゅう,"food, clothing and shelter"
いちいち,いちいち,"one by one, separately"
一応,いちおう,"tentatively, for the time being"
一段と,いちだんと,"by far, greater"
一流,いちりゅう,"first class, leading"
一昨日,いっさくじつ,day before yesterday
一昨年,いっさくねん,year before last
一斉,いっせい,"simultaneous, all at once"
一旦,いったん,"once, for a moment"
一定,いってい,"fixed, settled, regular"
行っていらっしゃい,いっていらっしゃい,"have a nice day, see you"
行ってらっしゃい,いってらっしゃい,"have a nice day, see you"
移転,いてん,"moving, transfer"
井戸,いど,water well
緯度,いど,latitude navigation
威張る,いばる,"to be proud, to swagger"
嫌がる,いやがる,"reluctant, to dislike"
煎る,いる,to roast
炒る,いる,"to parch, to roast"
入れ物,いれもの,"container, case"
引力,いんりょく,gravity
植木,うえき,"garden shrubs, trees, potted plant"
飢える,うえる,to starve
浮ぶ,うかぶ,"to float, to rise to surface, to come to mind"
浮かべる,うかべる,to float; to express
浮く,うく,to float
承る,うけたまわる,"humble to hear, to be told, to know"
受取,うけとり,receipt
受け持つ,うけもつ,to take be in charge of
薄暗い,うすぐらい,"dim, gloomy"
薄める,うすめる,"to dilute, to water down"
打合せ,うちあわせ,"business meeting, previous arrangement"
打ち消す,うちけす,"to deny, to negate"
写る,うつる,"to be photographed, to be projected"
有無,うむ,"existence or nonexistence, presence of absence consent or refusal, yes or no"
埋める,うめる,"to bury, to fill up, to fill a seat, a vacant position"
敬う,うやまう,"to show respect, to honor"
裏返す,うらがえす,"to turn inside out, to turn something over"
裏口,うらぐち,"backdoor, rear entrance"
占う,うらなう,"to predict, to divine"
恨み,うらみ,resentment
恨む,うらむ,"to curse, to feel bitter"
羨む,うらやむ,to envy
売上,うりあげ,"amount sold, proceeds"
売り上げ,うりあげ,"amount sold, sales, proceeds, takings, turnover"
売り切れ,うりきれ,sold-out
売り切れる,うりきれる,to be sold out
売行き,うれゆき,sales
売れ行き,うれゆき,"sales, demand"
上,うわ,upper ~
運河,うんが,"canal, waterway"
英文,えいぶん,sentence in English
英和,えいわ,"English-Japanese e.g., dictionary"
液体,えきたい,"liquid, fluid"
絵の具,えのぐ,"colors, paints"
偉い,えらい,"great, celebrated, remarkable,"
宴会,えんかい,"party, banquet"
園芸,えんげい,"horticulture, gardening"
演劇,えんげき,play theatrical
円周,えんしゅう,circumference
遠足,えんそく,"trip, hike, picnic"
延長,えんちょう,"extension, prolongation"
煙突,えんとつ,chimney
追いかける,おいかける,to chase or run after someone
追い越す,おいこす,"to pass e.g., car, to outdistance, to outstrip"
応援,おうえん,"aid, assistance, help, support, reinforcement cheering, rooting for, support"
王女,おうじょ,princess
応ずる,おうずる,"to respond, to comply with"
応接,おうせつ,reception
応対,おうたい,"receiving, dealing with"
往復,おうふく,"col round trip, coming and going, return ticket"
欧米,おうべい,"Europe and America, the West"
応用,おうよう,"application, put to practical use"
おおざっぱ,おおざっぱ,"rough not precise, broad, sketchy"
大通り,おおどおり,main street
大凡,おおよそ,"about, approximately"
お帰り,おかえり,"return, welcome"
おかけください,おかけください,please sit down
おかげさまで,おかげさまで,"Thanks to god, thanks to you"
おかず,おかず,"side dish, accompaniment for rice dishes"
おかまいなく,おかまいなく,please don't fuss over me
拝む,おがむ,"to worship, to pray"
お代わり,おかわり,"second helping, another cup"
補う,おぎなう,to compensate for
お気の毒に,おきのどくに,I'm sorry to hear that…
屋外,おくがい,outdoors
送り仮名,おくりがな,part of word written in kana
お元気で,おげんきで,Take care'
怠る,おこたる,"to neglect, to fail"
押さえる,おさえる,"to pin down, to hold down, to press down, to hold in place, to hold steady to cover esp. a part of one's body with one's hand, to clutch a body part in pain, to press a body part to get a hold of, to obtain, to seize, to catch, to arrest"
お先に,おさきに,"before, after you"
伯父,おじ,humble uncle older than one's parent
叔父,おじ,uncle younger than one's parent
惜しい,おしい,"regrettable, disappointing"
伯父さん,おじさん,"hon. middle-aged gentleman, uncle"
小父さん,おじさん,"hon. middle-aged gentleman, uncle"
叔父さん,おじさん,"hon. middle-aged gentleman, uncle"
お邪魔します,おじゃまします,Excuse me for disturbing you
お世話になりました,おせわになりました,I've been in your care
お大事に,おだいじに,"Take care of yourself, Take care!, Get well soon"
落着く,おちつく,"to calm down, to settle down"
お出掛け,おでかけ,outing
お手伝いさん,おてつだいさん,maid
脅かす,おどかす,"to threaten, to coerce"
落し物,おとしもの,lost property
驚かす,おどろかす,"to surprise, to frighten"
お願いします,おねがいします,"Please lit., I request"
各々,おのおの,"each, every, either"
伯母,おば,humble aunt older than one's parent
叔母,おば,aunt younger than one's parent
小母さん,おばさん,"lady, woman, ma'am"
おはよう,おはよう,abbr. Good morning
お参り,おまいり,"worship, shrine visit"
お待たせしました,おまたせしました,Sorry to have kept you waiting
お待ちください,おまちください,Please wait a moment
おまちどおさま,おまちどおさま,Sorry to have kept you waiting
おめでたい,おめでたい,"happy event, matter for congratulation"
思い掛けない,おもいがけない,"unexpected, casual"
思い切り,おもいきり,"with all one's strength heart, resignation, resolution"
思い込む,おもいこむ,"to be under impression that, to be convinced that"
思いっ切り,おもいっきり,"very, much, fully"
思いっきり,おもいっきり,to the best of one's ability
重たい,おもたい,"heavy, massive, serious"
お休み,おやすみ,"holiday, absence; exp. Good night"
親指,おやゆび,thumb
御,おん,honorific ~
恩恵,おんけい,"blessing, benefit"
温室,おんしつ,greenhouse
温泉,おんせん,"spa, hot spring"
温帯,おんたい,temperate zone
御中,おんちゅう,Messrs.
女の人,おんなのひと,woman
蚊,か,mosquito
貝,かい,"shell, shellfish"
外,がい,"foreign ~, outside ~"
開会,かいかい,opening of a meeting
会館,かいかん,"meeting hall, assembly hall"
改札,かいさつ,examination of tickets
解散,かいさん,"breakup, dissolution"
海水浴,かいすいよく,"sea bathing, seawater bath"
回数,かいすう,"number of times, frequency"
回数券,かいすうけん,book of tickets
改正,かいせい,"revision, amendment, alteration"
快晴,かいせい,good weather
解説,かいせつ,"explanation, commentary"
改造,かいぞう,remodeling
開通,かいつう,"opening, open"
回転,かいてん,"rotation, turning"
解答,かいとう,"answer, solution"
回答,かいとう,"reply, answer"
外部,がいぶ,"the outside, external"
解放,かいほう,"release, liberation, emancipation"
開放,かいほう,"open, throw open, liberalization"
海洋,かいよう,ocean
概論,がいろん,"introduction, general remark"
却って,かえって,"on the contrary, rather"
家屋,かおく,"house, building"
係わる,かかわる,"to concern oneself in, to be involved in"
書留,かきとめ,registered mail
書取,かきとり,dictation
垣根,かきね,hedge
限り,かぎり,"limits, as far as possible"
各,かく,"every ~, each ~"
架空,かくう,"imaginary, fiction, fanciful"
各自,かくじ,"individual, each"
拡充,かくじゅう,expansion
学術,がくじゅつ,"science, learning, scholarship"
各地,かくち,various parts of the country
拡張,かくちょう,"expansion, extension"
角度,かくど,angle
学年,がくねん,"year in school, grade in school"
学部,がくぶ,"department of a university undergraduate course, program, etc."
格別,かくべつ,exceptional
確率,かくりつ,probability
学力,がくりょく,"scholarship, knowledge"
掛け算,かけざん,multiplication
かけざん,かけざん,multiplication
可決,かけつ,"approval, adoption e.g., motion, bill, passage"
火口,かこう,crater of a volcano
下降,かこう,"decline, descent, fall"
重ねる,かさねる,"to pile up, to heap up, to stack up, to put on top of another to repeat many times over, to go through repeatedly, to accumulate"
